zugnummer,betriebstag,abfahrtzeit_soll,abfahrtzeit_ist,start_betriebsstelle,ankunftzeit_soll,ankunftzeit_ist,ziel_betriebsstelle,fahrzeit_delta,abfahrt_verspaetung_min,ankunft_verspaetung_min
63,2025-11-24,2025-11-24T10:52:00+0100,2025-11-24T13:28:47+0100,MFL,2025-11-24T14:21:13+0100,2025-11-24T14:37:07+0100,NIFG,-02:20:53,156.78333333333333,15.9
81,2025-11-24,2025-11-24T08:31:08+0100,2025-11-24T09:31:47+0100,MKI,2025-11-24T10:00:51+0100,2025-11-24T11:06:50+0100,BE,00:05:20,60.65,65.98333333333333
115,2025-11-24,2025-11-24T15:12:00+0100,2025-11-24T16:31:24+0100,MKI,2025-11-24T19:57:47+0100,2025-11-24T20:35:31+0100,KT H1,-00:41:40,79.4,37.733333333333334
261,2025-11-24,2025-11-24T18:52:00+0100,2025-11-24T19:45:02+0100,MFL,2025-11-24T22:25:00+0100,2025-11-24T23:44:57+0100,HE,00:26:55,53.03333333333333,79.95
330,2025-11-24,2025-11-24T06:54:59+0100,2025-11-24T08:18:02+0100,GL,2025-11-24T08:00:00+0100,2025-11-24T09:21:09+0100,HDV,-00:01:54,83.05,81.15
660,2025-11-24,2025-11-24T08:57:11+0100,2025-11-24T09:26:39+0100,SBJ,2025-11-24T13:16:16+0100,2025-11-24T14:29:47+0100,LATH1,00:44:03,29.466666666666665,73.51666666666667
661,2025-11-24,2025-11-24T14:41:28+0100,2025-11-24T14:42:26+0100,WO S12,2025-11-24T21:56:06+0100,2025-11-24T23:12:12+0100,KLSS21,01:15:08,0.9666666666666667,76.1
1219,2025-11-24,2025-11-24T20:31:08+0100,2025-11-24T21:32:20+0100,MKI,2025-11-24T21:16:28+0100,2025-11-24T22:12:08+0100,H  H3,-00:05:32,61.2,55.666666666666664
1295,2025-11-24,2025-11-24T22:52:00+0100,2025-11-24T23:58:47+0100,MFL,2025-11-24T22:57:33+0100,2025-11-25T00:03:54+0100,SBJ,-00:00:26,66.78333333333333,66.35
30063,2025-11-24,2025-11-24T11:09:20+0100,2025-11-24T13:42:50+0100,HW Z3,2025-11-24T13:29:40+0100,2025-11-24T16:08:37+0100,MLX,00:05:27,153.5,158.95
23,2025-11-25,2025-11-25T12:29:00+0100,2025-11-25T15:01:44+0100,PA,2025-11-25T14:44:45+0100,2025-11-25T17:17:03+0100,MLX,-00:00:26,152.73333333333332,152.3
67,2025-11-25,2025-11-25T14:53:00+0100,2025-11-25T15:58:27+0100,SB G,2025-11-25T18:25:00+0100,2025-11-25T19:28:01+0100,HE,-00:02:26,65.45,63.016666666666666
91,2025-11-25,2025-11-25T14:29:00+0100,2025-11-25T15:47:13+0100,PA,2025-11-25T16:44:45+0100,2025-11-25T18:12:41+0100,MLX,00:09:43,78.21666666666667,87.93333333333334
109,2025-11-25,2025-11-25T20:47:00+0100,2025-11-25T21:54:00+0100,BPA,2025-11-25T22:08:47+0100,2025-11-25T23:20:35+0100,OW,00:04:48,67.0,71.8
144,2025-11-25,2025-11-25T14:32:30+0100,2025-11-25T15:33:32+0100,HE,2025-11-25T15:18:20+0100,2025-11-25T16:20:45+0100,OF,00:01:23,61.03333333333333,62.416666666666664
146,2025-11-25,2025-11-25T16:32:30+0100,2025-11-25T17:40:05+0100,HE,2025-11-25T17:18:20+0100,2025-11-25T18:19:05+0100,OF,-00:06:50,67.58333333333333,60.75
163,2025-11-25,2025-11-25T10:00:00+0100,2025-11-25T10:02:35+0100,BC,2025-11-25T18:13:40+0100,2025-11-25T19:29:27+0100,GMI,01:13:12,2.5833333333333335,75.78333333333333
164,2025-11-25,2025-11-25T09:46:51+0100,2025-11-25T09:46:57+0100,GMI,2025-11-25T17:59:00+0100,2025-11-25T19:33:09+0100,BC,01:34:03,0.1,94.15
261,2025-11-25,2025-11-25T18:52:00+0100,2025-11-25T19:49:58+0100,MFL,2025-11-25T22:25:00+0100,2025-11-25T23:40:37+0100,HE,00:17:39,57.96666666666667,75.61666666666666
421,2025-11-25,2025-11-25T08:23:22+0100,2025-11-25T10:00:25+0100,MKI,2025-11-25T09:12:27+0100,2025-11-25T10:47:41+0100,H  H3,-00:01:49,97.05,95.23333333333333
491,2025-11-25,2025-11-25T06:10:36+0100,2025-11-25T07:17:00+0100,PAG,2025-11-25T09:15:00+0100,2025-11-25T09:57:12+0100,MLX,-00:24:12,66.4,42.2
513,2025-11-25,2025-11-25T08:17:54+0100,2025-11-25T08:21:09+0100,SBM,2025-11-25T12:13:02+0100,2025-11-25T14:27:22+0100,GMI,02:11:05,3.25,134.33333333333334
1018,2025-11-25,2025-11-25T08:46:06+0100,2025-11-25T08:47:56+0100,OW,2025-11-25T12:47:26+0100,2025-11-25T14:15:30+0100,RG H1K,01:26:14,1.8333333333333333,88.06666666666666
21087,2025-11-25,2025-11-25T00:58:30+0100,2025-11-25T00:55:49+0100,TUS,2025-11-25T01:04:30+0100,2025-11-25T03:32:05+0100,TU,02:30:16,0.0,147.58333333333334
25723,2025-11-25,2025-11-25T16:07:00+0100,2025-11-25T16:52:07+0100,MFL,2025-11-25T17:55:17+0100,2025-11-25T19:01:29+0100,LD S11,00:21:05,45.11666666666667,66.2
86,2025-11-26,2025-11-26T14:00:00+0100,2025-11-26T14:22:23+0100,BE,2025-11-26T15:29:02+0100,2025-11-26T16:33:04+0100,K  G,00:41:39,22.383333333333333,64.03333333333333
257,2025-11-26,2025-11-26T13:50:00+0100,2025-11-26T15:59:30+0100,BPA,2025-11-26T14:47:50+0100,2025-11-26T17:14:36+0100,OF,00:17:16,129.5,146.76666666666668
421,2025-11-26,2025-11-26T08:23:22+0100,2025-11-26T09:44:49+0100,MKI,2025-11-26T09:12:27+0100,2025-11-26T10:32:21+0100,H  H3,-00:01:33,81.45,79.9
457,2025-11-26,2025-11-26T03:58:30+0100,2025-11-26T06:51:00+0100,BPA,2025-11-26T09:58:43+0100,2025-11-26T10:39:52+0100,GMI,-02:11:21,172.5,41.15
491,2025-11-26,2025-11-26T06:10:36+0100,2025-11-26T07:42:36+0100,PAG,2025-11-26T09:15:00+0100,2025-11-26T10:20:59+0100,MLX,-00:26:01,92.0,65.98333333333333
66,2025-11-27,2025-11-27T15:32:30+0100,2025-11-27T15:35:01+0100,HE,2025-11-27T19:06:00+0100,2025-11-27T20:14:08+0100,MFL,01:05:37,2.5166666666666666,68.13333333333334
95,2025-11-27,2025-11-27T19:26:00+0100,2025-11-27T20:27:14+0100,PA,2025-11-27T21:44:45+0100,2025-11-27T22:50:44+0100,MLX,00:04:45,61.233333333333334,65.98333333333333
166,2025-11-27,2025-11-27T13:30:00+0100,2025-11-27T13:31:13+0100,MLX,2025-11-27T20:06:30+0100,2025-11-27T21:16:12+0100,BC,01:08:29,1.2166666666666666,69.7
185,2025-11-27,2025-11-27T20:06:00+0100,2025-11-27T21:11:45+0100,I  W1,2025-11-27T20:40:00+0100,2025-11-27T21:43:44+0100,BE,-00:02:01,65.75,63.733333333333334
229,2025-11-27,2025-11-27T20:31:00+0100,2025-11-27T21:43:58+0100,PA,2025-11-27T23:03:24+0100,2025-11-28T00:06:55+0100,MLX,-00:09:27,72.96666666666667,63.516666666666666
237,2025-11-27,2025-11-27T01:21:00+0100,2025-11-27T02:06:21+0100,MFL,2025-11-27T05:23:00+0100,2025-11-27T07:02:51+0100,TBV,00:54:30,45.35,99.85
261,2025-11-27,2025-11-27T18:52:00+0100,2025-11-27T20:10:21+0100,MFL,2025-11-27T22:25:00+0100,2025-11-27T23:40:19+0100,HE,-00:03:02,78.35,75.31666666666666
359,2025-11-27,2025-11-27T15:59:58+0100,2025-11-27T17:24:44+0100,MLX,2025-11-27T18:36:08+0100,2025-11-27T19:47:10+0100,GMI,-00:13:44,84.76666666666667,71.03333333333333
421,2025-11-27,2025-11-27T08:23:22+0100,2025-11-27T10:04:05+0100,MKI,2025-11-27T09:12:27+0100,2025-11-27T11:08:00+0100,H  H3,00:14:50,100.71666666666667,115.55
469,2025-11-27,2025-11-27T07:18:00+0100,2025-11-27T08:19:48+0100,MFL,2025-11-27T10:11:24+0100,2025-11-27T11:11:08+0100,MLX,-00:02:04,61.8,59.733333333333334
27,2025-11-28,2025-11-28T16:22:54+0100,2025-11-28T17:45:14+0100,PAG,2025-11-28T18:44:45+0100,2025-11-28T20:06:58+0100,MLX,-00:00:07,82.33333333333333,82.21666666666667
68,2025-11-28,2025-11-28T17:32:30+0100,2025-11-28T17:43:09+0100,HE,2025-11-28T21:06:00+0100,2025-11-28T22:11:37+0100,MFL,00:54:58,10.65,65.61666666666666
86,2025-11-28,2025-11-28T14:00:00+0100,2025-11-28T14:50:58+0100,BE,2025-11-28T15:29:02+0100,2025-11-28T16:35:41+0100,K  G,00:15:41,50.96666666666667,66.65
140,2025-11-28,2025-11-28T10:32:30+0100,2025-11-28T12:21:34+0100,HE,2025-11-28T11:18:27+0100,2025-11-28T13:01:01+0100,OF,-00:06:30,109.06666666666666,102.56666666666666
145,2025-11-28,2025-11-28T12:43:59+0100,2025-11-28T14:19:26+0100,OF,2025-11-28T13:25:00+0100,2025-11-28T14:55:23+0100,HE,-00:05:04,95.45,90.38333333333334
367,2025-11-28,2025-11-28T18:00:00+0100,2025-11-28T18:03:44+0100,BC,2025-11-29T00:32:40+0100,2025-11-29T01:34:15+0100,MLX,00:57:51,3.7333333333333334,61.583333333333336
421,2025-11-28,2025-11-28T08:23:22+0100,2025-11-28T09:38:51+0100,MKI,2025-11-28T09:12:27+0100,2025-11-28T10:34:15+0100,H  H3,00:06:19,75.48333333333333,81.8
466,2025-11-28,2025-11-28T21:41:00+0100,2025-11-28T22:47:37+0100,MLX,2025-11-29T06:56:30+0100,2025-11-29T06:55:42+0100,BC,-01:07:25,66.61666666666666,0.0
546,2025-11-28,2025-11-28T08:34:55+0100,2025-11-28T08:49:16+0100,KLSS22,2025-11-28T11:46:12+0100,2025-11-28T13:24:07+0100,HW Z3,01:23:34,14.35,97.91666666666667
739,2025-11-28,2025-11-28T13:26:00+0100,2025-11-28T14:33:32+0100,MLX,2025-11-28T19:04:21+0100,2025-11-28T20:53:56+0100,LIEH1,00:42:03,67.53333333333333,109.58333333333333
767,2025-11-28,2025-11-28T12:17:40+0100,2025-11-28T13:04:34+0100,H  H3,2025-11-28T16:23:00+0100,2025-11-28T18:12:09+0100,HEZ,01:02:15,46.9,109.15
868,2025-11-28,2025-11-28T20:58:07+0100,2025-11-28T22:05:16+0100,SBJ,2025-11-28T22:46:34+0100,2025-11-28T23:57:52+0100,H  H3,00:04:09,67.15,71.3
1068,2025-11-28,2025-11-28T19:39:00+0100,2025-11-28T21:09:50+0100,HE,2025-11-28T20:24:56+0100,2025-11-28T21:53:36+0100,OF,-00:02:10,90.83333333333333,88.66666666666667
1219,2025-11-28,2025-11-28T20:31:08+0100,2025-11-28T22:12:10+0100,MKI,2025-11-28T21:16:28+0100,2025-11-28T23:25:19+0100,H  H3,00:27:49,101.03333333333333,128.85
1369,2025-11-28,2025-11-28T04:50:00+0100,2025-11-28T05:24:44+0100,BC,2025-11-28T10:41:00+0100,2025-11-28T12:13:28+0100,BE,00:57:44,34.733333333333334,92.46666666666667
5935,2025-11-28,2025-11-28T13:38:11+0100,2025-11-28T13:50:42+0100,SCHG,2025-11-28T13:45:43+0100,2025-11-28T16:02:11+0100,SCHS12,02:03:57,12.516666666666667,136.46666666666667
16990,2025-11-28,2025-11-28T07:00:00+0100,2025-11-28T08:21:54+0100,KR,2025-11-28T07:00:00+0100,2025-11-28T08:21:54+0100,KR,00:00:00,81.9,81.9
82,2025-11-29,2025-11-29T18:42:00+0100,2025-11-29T20:11:38+0100,I,2025-11-29T19:29:02+0100,2025-11-29T20:53:27+0100,K  G,-00:05:13,89.63333333333334,84.41666666666667
119,2025-11-29,2025-11-29T15:58:00+0100,2025-11-29T15:59:48+0100,LIR,2025-11-29T19:04:00+0100,2025-11-29T20:36:21+0100,WT,01:30:33,1.8,92.35
166,2025-11-29,2025-11-29T13:30:00+0100,2025-11-29T13:30:49+0100,MLX,2025-11-29T20:06:30+0100,2025-11-29T21:41:00+0100,BC,01:33:41,0.8166666666666667,94.5
236,2025-11-29,2025-11-29T00:05:00+0100,2025-11-29T01:05:26+0100,TBV,2025-11-29T04:13:00+0100,2025-11-29T04:40:15+0100,MFL,-00:33:11,60.43333333333333,27.25
341,2025-11-29,2025-11-29T20:39:03+0100,2025-11-29T21:40:10+0100,OF,2025-11-29T21:25:00+0100,2025-11-29T22:19:11+0100,HE,-00:06:56,61.11666666666667,54.18333333333333
457,2025-11-29,2025-11-29T03:43:30+0100,2025-11-29T05:01:30+0100,BPA,2025-11-29T10:01:43+0100,2025-11-29T10:16:45+0100,GMI,-01:02:58,78.0,15.033333333333333
601,2025-11-29,2025-11-29T15:55:54+0100,2025-11-29T15:56:52+0100,LZW,2025-11-29T19:01:23+0100,2025-11-29T20:07:28+0100,GMI,01:05:07,0.9666666666666667,66.08333333333333
633,2025-11-29,2025-11-29T18:18:41+0100,2025-11-29T18:19:25+0100,MLX,2025-11-29T22:45:04+0100,2025-11-29T23:48:09+0100,VBO,01:02:21,0.7333333333333333,63.083333333333336
1167,2025-11-29,2025-11-29T18:06:00+0100,2025-11-29T19:25:11+0100,OF,2025-11-29T18:51:00+0100,2025-11-29T20:12:20+0100,HE,00:02:09,79.18333333333334,81.33333333333333
1219,2025-11-29,2025-11-29T20:31:08+0100,2025-11-29T21:34:30+0100,MKI,2025-11-29T21:16:28+0100,2025-11-29T22:19:28+0100,H  H3,-00:00:22,63.36666666666667,63.0
2517,2025-11-29,2025-11-29T13:14:27+0100,2025-11-29T14:39:31+0100,SFLH1,2025-11-29T13:45:08+0100,2025-11-29T15:19:45+0100,OF,00:09:33,85.06666666666666,94.61666666666666
2522,2025-11-29,2025-11-29T15:15:08+0100,2025-11-29T16:22:00+0100,OF,2025-11-29T15:56:48+0100,2025-11-29T17:05:05+0100,DNV,00:01:25,66.86666666666666,68.28333333333333
2524,2025-11-29,2025-11-29T16:15:08+0100,2025-11-29T17:16:55+0100,OF,2025-11-29T16:45:47+0100,2025-11-29T17:47:35+0100,SFLH1,00:00:01,61.78333333333333,61.8
2527,2025-11-29,2025-11-29T18:03:00+0100,2025-11-29T18:03:00+0100,DNV,2025-11-29T18:45:08+0100,2025-11-29T20:01:05+0100,OF,01:15:57,0.0,75.95
2532,2025-11-29,2025-11-29T20:15:08+0100,2025-11-29T21:32:46+0100,OF,2025-11-29T20:56:48+0100,2025-11-29T22:28:19+0100,DNV,00:13:53,77.63333333333334,91.51666666666667
3328,2025-11-29,2025-11-29T17:25:30+0100,2025-11-29T17:25:22+0100,WT,2025-11-29T18:19:40+0100,2025-11-29T19:56:49+0100,SS Z1,01:37:17,0.0,97.15
19973,2025-11-29,2025-11-29T16:41:28+0100,2025-11-29T16:42:23+0100,WO S12,2025-11-29T22:47:12+0100,2025-11-29T23:49:58+0100,HW Z3,01:01:51,0.9166666666666666,62.766666666666666
466,2025-11-30,2025-11-30T21:41:00+0100,2025-11-30T22:13:32+0100,MLX,2025-12-01T07:00:02+0100,2025-12-01T08:43:09+0100,BC,01:10:35,32.53333333333333,103.11666666666666
